Front,Back,tags
นี้,this,nilsen
ว่า,that; think,nilsen
ไม่,not,nilsen
การ,the process of; work; job,nilsen
เมื่อ,when,nilsen
อย่าง,type; like,nilsen
ความ,matter; affair; subject,nilsen
แล้ว,already,nilsen
ชั้น,layer; level; grade,nilsen
ซึ่ง,which,nilsen
ทำให้,make,nilsen
โดย,by,nilsen
เพื่อ,for,nilsen
ครั้ง,time,nilsen
ผู้,person,nilsen
น้อย,little,nilsen
หาก,if,nilsen
เกิด,born,nilsen
เพียง,only,nilsen
อาจ,may,nilsen
ต่อไป,next,nilsen
เปลี่ยน,change,nilsen
ต่าง,different,nilsen
แห่ง,location; place; spot,nilsen
สำหรับ,for,nilsen
นอก,out,nilsen
ด้าน,side,nilsen
ทรง,"style, hairdo",nilsen
นำ,lead,nilsen
เท่านั้น,only,nilsen
สามารถ,be able,nilsen
เรียก,call,nilsen
ชื่อ,name,nilsen
ประเทศ,country,nilsen
ภาพ,image,nilsen
นอกจาก,in addition to,nilsen
ได้รับ,receive,nilsen
เดิม,original; before,nilsen
ฝ่าย,party; side,nilsen
ส่ง,send,nilsen
ที่อยู่,address,nilsen
แม้,even; &nbsp;though; if; provided,nilsen
ปัญหา,problem,nilsen
จริง,real,nilsen
สร้าง,create,nilsen
ร่วม,join,nilsen
เช่น,like,nilsen
หนังสือ,book,nilsen
ละ,each,nilsen
ท่าน,you (polite),nilsen
